event_id,truck_id,silo_id,assignment_timestamp,detection_timestamp
1001.0,TRK-1731,9.0,2024-05-01 12:10:20,2024-05-01 12:19:20
,TRK-4432,15.0,2024-03-02 02:58:01,2024-03-02 03:08:01
1003.0,TRK-2890,,2024-08-26 21:02:08,2024-08-26 21:06:08
1004.0,TRK-4206,6.0,2024-04-29 07:26:11,2024-04-29 07:36:11
1005.0,TRK-4196,7.0,,2024-08-28 04:38:38
1006.0,TRK-0860,9.0,2024-12-29 19:58:00,2024-12-29 20:04:00
1007.0,TRK-1924,10.0,2024-03-28 18:42:34,2024-03-28 18:51:34
1008.0,TRK-3244,12.0,2024-01-07 21:32:11,2024-01-07 21:37:11
,,,,
1010.0,,8.0,2024-09-25 14:34:11,2024-09-25 14:39:11
1011.0,TRK-4067,10.0,2024-10-04 05:44:46,2024-10-04 05:50:46
1012.0,TRK-4771,10.0,2024-04-17 22:57:30,
1013.0,TRK-2267,6.0,2024-02-11 07:18:55,2024-02-11 07:27:55
1014.0,TRK-2070,14.0,2024-06-18 23:30:01,2024-06-18 23:36:01
1015.0,TRK-2271,2.0,2024-08-08 15:26:16,2024-08-08 15:28:16
1016.0,TRK-3702,7.0,2024-08-07 23:10:13,2024-08-07 23:14:13
1017.0,TRK-3491,3.0,,2024-09-07 00:57:07
1018.0,TRK-2813,5.0,2024-06-09 07:21:23,2024-06-09 07:26:23
1019.0,TRK-2439,13.0,2024-05-01 23:32:55,2024-05-01 23:41:55
1020.0,TRK-2906,10.0,2024-04-15 10:16:57,2024-04-15 10:19:57
1021.0,TRK-3204,1.0,2024-06-09 12:20:59,2024-06-09 12:26:59
1022.0,,6.0,2024-10-20 01:20:01,2024-10-20 01:30:01
1023.0,TRK-1715,15.0,2024-05-30 11:37:50,2024-05-30 11:47:50
,,,,
1025.0,TRK-3786,13.0,2024-07-17 20:02:34,2024-07-17 20:10:34
1026.0,TRK-2981,9.0,2024-08-28 11:20:11,2024-08-28 11:27:11
1027.0,TRK-3691,9.0,2024-07-11 20:00:07,2024-07-11 20:05:07
1028.0,TRK-4071,6.0,2024-09-26 04:58:17,2024-09-26 05:06:17
1029.0,TRK-4524,2.0,2024-03-16 14:16:57,2024-03-16 14:24:57
,,,,
1031.0,TRK-1787,5.0,2024-02-08 17:58:50,2024-02-08 18:00:50
1032.0,TRK-4005,14.0,2024-07-21 16:10:16,2024-07-21 16:15:16
1033.0,TRK-0466,8.0,2024-08-23 04:55:53,2024-08-23 04:58:53
1034.0,TRK-3818,8.0,2024-11-06 02:04:04,2024-11-06 02:12:04
1035.0,TRK-0770,15.0,2024-05-26 15:24:48,2024-05-26 15:29:48
1036.0,TRK-2592,11.0,2024-03-01 21:07:48,2024-03-01 21:09:48
1037.0,TRK-0022,8.0,2024-02-26 10:02:03,2024-02-26 10:12:03
1038.0,TRK-4380,4.0,2024-05-10 19:25:29,2024-05-10 19:33:29
,TRK-4784,3.0,2024-03-01 06:35:44,
1040.0,TRK-1563,4.0,2024-06-24 16:07:46,2024-06-24 16:17:46
1041.0,,5.0,2024-10-29 03:23:02,2024-10-29 03:25:02
1042.0,TRK-1936,15.0,2024-05-07 02:42:59,2024-05-07 02:47:59
1043.0,TRK-3349,10.0,2024-09-02 09:08:30,2024-09-02 09:15:30
1044.0,TRK-1065,9.0,2024-06-05 23:36:27,2024-06-05 23:43:27
1045.0,TRK-0355,12.0,2024-01-22 15:02:18,2024-01-22 15:06:18
1046.0,TRK-1837,2.0,2024-01-02 14:56:16,2024-01-02 15:00:16
1047.0,,6.0,2024-03-05 10:36:47,2024-03-05 10:41:47
1048.0,TRK-1300,8.0,2024-02-19 11:24:18,2024-02-19 11:29:18
1049.0,TRK-2569,12.0,2024-04-07 00:24:49,2024-04-07 00:31:49
