truck_id,truck_number,truck_type,rfid_tag,registration_date
TRK-0001,QA-381-GD,Tipper,RFID-po104iV,2024-12-11
,CT-658-CK,Bulk,RFID-LB181cb,2024-06-19
TRK-0003,AF-617-PO,,RFID-GM133bJ,2024-01-24
TRK-0004,SS-529-FP,Tipper,RFID-oC386Lr,2024-06-22
TRK-0005,VA-925-EK,Bulk,,2025-05-19
TRK-0006,HF-881-IC,Bulk,RFID-yg511ww,2023-08-12
TRK-0007,CW-718-GB,Tipper,RFID-UD940Ih,2024-02-05
TRK-0008,LD-487-CH,Tipper,RFID-sO618Nx,2024-09-25
,,,,
TRK-0010,,Bulk,RFID-gy413rD,2025-01-11
TRK-0011,WJ-564-QJ,Tipper,RFID-wn525Qr,2025-01-04
TRK-0012,JF-373-SR,Bulk,RFID-IU192pk,
TRK-0013,BQ-646-SE,Bulk,RFID-OS764Jo,2023-10-10
TRK-0014,JZ-755-RF,Bulk,RFID-cZ503uz,2024-12-20
TRK-0015,IT-157-FA,Tipper,RFID-KT413un,2025-08-02
TRK-0016,IG-316-XO,Bulk,RFID-jq767ip,2025-01-30
TRK-0017,SF-611-KX,Tipper,,2024-08-10
TRK-0018,LG-352-TO,Bulk,RFID-iG653Ff,2024-02-11
TRK-0019,TL-697-KF,Tipper,RFID-Ok012YR,2025-02-28
TRK-0020,ZN-193-TW,Tipper,RFID-yy691MD,2024-05-26
TRK-0021,DE-796-KB,Bulk,RFID-aR848Uh,2024-11-13
TRK-0022,,Bulk,RFID-hs845Bk,2023-08-14
TRK-0023,YR-217-RN,Bulk,RFID-GW704lG,2024-07-31
,,,,
TRK-0025,AS-836-GN,Tipper,RFID-aM288uF,2024-09-04
TRK-0026,EX-991-QV,Tipper,RFID-Zt015pd,2024-11-07
TRK-0027,NF-482-TO,Bulk,RFID-fU391Fe,2025-02-03
TRK-0028,UN-100-PM,Tipper,RFID-QE822Jk,2024-03-29
TRK-0029,CJ-951-UG,Tipper,RFID-Bn489IW,2024-12-20
,,,,
TRK-0031,BT-884-DR,Tipper,RFID-po871ev,2024-07-02
TRK-0032,YE-640-WL,Bulk,RFID-oL098oa,2024-08-13
TRK-0033,FO-847-RS,Bulk,RFID-ec103ve,2023-12-26
TRK-0034,KR-482-LN,Bulk,RFID-QF834nI,2023-09-09
TRK-0035,DF-446-AO,Bulk,RFID-Ep299YE,2023-09-07
TRK-0036,PA-824-QF,Bulk,RFID-gQ631Bw,2023-08-22
TRK-0037,XW-172-NH,Bulk,RFID-Ud667RP,2024-05-05
TRK-0038,MO-840-YO,Tipper,RFID-Uv106Zg,2023-11-13
,MU-926-KC,Bulk,RFID-IC333iB,
TRK-0040,RJ-520-MS,Tipper,RFID-pe247CZ,2024-02-20
TRK-0041,,Tipper,RFID-PI810af,2025-01-28
TRK-0042,UC-296-EL,Bulk,RFID-FE326nz,2025-02-12
TRK-0043,KH-355-WB,Tipper,RFID-ay026qY,2023-10-21
TRK-0044,VW-200-BZ,Bulk,RFID-SU746YJ,2025-04-02
TRK-0045,VZ-871-WE,Tipper,RFID-sn723dL,2023-09-13
TRK-0046,MF-510-XE,Bulk,RFID-dd805LE,2024-08-07
TRK-0047,,Bulk,RFID-dG882fl,2025-07-14
TRK-0048,SS-902-OS,Tipper,RFID-Rp191zh,2023-08-11
TRK-0049,EH-159-PO,Tipper,RFID-Mc939Nf,2024-07-24
TRK-0050,TB-698-MX,Tipper,RFID-Hu699qn,2023-11-01
TRK-0051,NB-620-CE,Tipper,RFID-zi534QP,2024-07-06
TRK-0052,PR-340-KY,Tipper,RFID-We475aD,2024-02-08
TRK-0053,OP-140-QK,Tipper,RFID-eI991nG,2024-02-29
TRK-0054,PN-367-FS,Bulk,RFID-ep425xs,2024-10-13
TRK-0055,GK-787-QL,Bulk,,2024-05-14
TRK-0056,YY-109-LZ,Bulk,RFID-tQ808gi,2025-06-11
TRK-0057,ZB-318-ND,Bulk,RFID-VJ411jr,2025-04-12
TRK-0058,JB-350-JE,Bulk,RFID-Tv493nR,2023-08-26
TRK-0059,VS-726-ZU,Bulk,RFID-qd487fO,2025-04-13
TRK-0060,NR-667-HR,Tipper,RFID-av640Xi,2024-12-25
TRK-0061,YD-218-XT,Bulk,RFID-JT427BJ,2025-01-07
TRK-0062,EH-315-SF,Tipper,RFID-Sj011Ic,2024-09-22
TRK-0063,QG-600-GX,Tipper,RFID-jB598ic,2025-05-16
TRK-0064,BQ-949-HA,Bulk,RFID-wn450Rp,2024-11-18
,UQ-368-EL,Bulk,RFID-AN158Vj,2024-04-10
,,,,
,XO-954-JO,Bulk,,2023-12-23
TRK-0068,LB-473-XU,Bulk,RFID-Eo160mD,2024-01-20
TRK-0069,WX-315-RR,Bulk,RFID-ob543Qm,2024-07-26
